first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Walter,B.,Jones,612,RepWalterJones,NC,,,R
Hank,,Johnson,1843,RepHankJohnson,GA,,,D
Jim,,Jordan,1868,Jim_Jordan,OH,,,R
Lynn,,Jenkins,1921,RepLynnJenkins,KS,,,R
Bill,,Johnson,2046,RepBillJohnson,OH,,,R
Hakeem,,Jeffries,2149,RepJeffries,NY,,,D
Dave,,Joyce,2154,RepDaveJoyce,OH,,,R
David,W.,Jolly,2199,USRepDavidJolly,FL,,,R
Evan,,Jenkins,2278,RepEvanJenkins,WV,,,R
Marcy,,Kaptur,616,RepMarcyKaptur,OH,,,D
Ron,,Kind,1498,RepRonKind,WI,,,D
Peter,T.,King,635,RepPeteKing,NY,,,R
Steve,,King,1724,SteveKingIA,IA,,,R
John,,Kline,1733,RepJohnKline,MN,,,R
Ann,,Kirkpatrick,1907,RepKirkpatrick,AZ,,,D
Bill,,Keating,2025,USRepKeating,MA,,,D
Mike,,Kelly,2051,MikeKellyPA,PA,,,R
Adam,,Kinzinger,2014,RepKinzinger,IL,,,R
Joseph,P.,Kennedy III,2172,RepJoeKennedy,MA,,,D
Dan,,Kildee,2134,RepDanKildee,MI,,,D
Derek,,Kilmer,2169,RepDerekKilmer,WA,,,D
Ann,McLane,Kuster,2145,RepAnnieKuster,NH,,,D
Robin,,Kelly,2190,RepRobinKelly,IL,,,D
John,,Katko,2264,RepJohnKatko,NY,,,R
Steve,,Knight,2228,RepSteveKnight,CA,,,R
Trent,,Kelly,2294,,MS,,,R
Sander,M.,Levin,683,RepSandyLevin,MI,,,D
John,,Lewis,688,RepJohnLewis,GA,,,D
Zoe,,Lofgren,701,RepZoeLofgren,CA,,,D
Nita,M.,Lowey,709,NitaLowey,NY,,,D
Frank,D.,Lucas,711,RepFrankLucas,OK,,,R
Barbara,,Lee,1501,RepBarbaraLee,CA,,,D
Frank,A.,LoBiondo,699,RepLoBiondo,NJ,,,R
John,B.,Larson,1583,RepJohnLarson,CT,,,D
Jim,,Langevin,1668,JimLangevin,RI,,,D
Rick,,Larsen,1675,RepRickLarsen,WA,,,D
Stephen,F.,Lynch,1686,RepStephenLynch,MA,,,D
Daniel,,Lipinski,1781,RepLipinski,IL,,,D
Doug,,Lamborn,1834,RepDLamborn,CO,,,R
Dave,,Loebsack,1846,DaveLoebsack,IA,,,D
Robert,E.,Latta,1885,BobLatta,OH,,,R
Leonard,,Lance,1936,RepLanceNJ7,NJ,,,R
Blaine,,Luetkemeyer,1931,RepBlainePress,MO,,,R
Ben,Ray,Lujan,1939,RepBenRayLujan,NM,,,D
Cynthia,M.,Lummis,1960,CynthiaLummis,WY,,,R
Raul,,Labrador,2011,Raul_Labrador,ID,,,R
Billy,,Long,2033,USRepLong,MO,,,R
Doug,,LaMalfa,2100,RepLaMalfa,CA,,,R
Alan,,Lowenthal,2111,RepLowenthal,CA,,,D
Michelle,,Lujan Grisham,2146,RepLujanGrisham,NM,,,D
Brenda,,Lawrence,2252,RepLawrence,MI,,,D
Ted,,Lieu,2230,RepTedLieu,CA,,,D
